Player,Team,Position,Salary,Years,Total value,Average Annual
"Heyward, Jason",Dodgers,OF,"$9,000,000",,$0,$0
"Lowe, Brandon",Rays,2,"$8,750,000",6,"$24,000,000","$4,000,000"
"Verdugo, Alex",Yankees,OF,"$8,700,000",,$0,$0
"Drury, Brandon",Angels,DH,"$8,500,000",2,"$17,000,000","$8,500,000"
"Wood, Alex",Athletics,LHP,"$8,500,000",,$0,$0
"Miley, Wade",Brewers,LHP,"$8,500,000",,$0,$0
"Kelly, Merrill",Diamondbacks,RHP,"$8,500,000",2,"$18,000,000","$9,000,000"
"Lyles, Jordan",Royals,RHP,"$8,500,000",2,"$17,000,000","$8,500,000"
"Robertson, David",Rangers,RHP,"$8,283,253",,$0,$0
"Lee, Jung-Hoo",Giants,OF,"$8,250,000",6,"$113,000,000","$18,833,333"
"Lopez, Pablo",Twins,RHP,"$8,250,000",4,"$73,500,000","$18,375,000"
"Arozarena, Randy",Rays,OF,"$8,100,000",,$0,$0
"Buehler, Walker",Dodgers,RHP,"$8,025,000",,$0,$0
"Graveman, Kendall",Astros,RHP,"$8,000,000",3,"$24,000,000","$8,000,000"
"Diaz, Aledmys",Athletics,INF,"$8,000,000",2,"$14,500,000","$7,250,000"
"d'Arnaud, Travis",Braves,C,"$8,000,000",,$0,$0
"Jimenez, Joe",Braves,RHP,"$8,000,000",3,"$26,000,000","$8,666,667"
"Kelly, Joe",Dodgers,RHP,"$8,000,000",,$0,$0
"Webb, Logan",Giants,RHP,"$8,000,000",5,"$90,000,000","$18,000,000"
"Cease, Dylan",Padres,RHP,"$8,000,000",,$0,$0
"Kim, Ha-Seong",Padres,SS,"$8,000,000",4,"$28,000,000","$7,000,000"
"Perez, Martin",Pirates,LHP,"$8,000,000",,$0,$0
"Diaz, Yandy",Rays,1,"$8,000,000",3,"$24,000,000","$8,000,000"
"Pagan, Emilio",Reds,RHP,"$8,000,000",2,"$16,000,000","$8,000,000"
"Yastrzemski, Mike",Giants,OF,"$7,900,000",,$0,$0
"Romano, Jordan",Blue Jays,RHP,"$7,750,000",,$0,$0
"Kiner-Falefa, Isiah",Blue Jays,3,"$7,500,000",2,"$15,000,000","$7,500,000"
"Strahm, Matt",Phillies,LHP,"$7,500,000",2,"$15,000,000","$7,500,000"
"Lowe, Nate",Rangers,1,"$7,500,000",,$0,$0
"Pivetta, Nick",Red Sox,RHP,"$7,500,000",,$0,$0
"Fedde, Erick",White Sox,RHP,"$7,500,000",2,"$15,000,000","$7,500,000"
"Javier, Cristian",Astros,RHP,"$7,400,000",5,"$64,000,000","$12,800,000"
"Sewald, Paul",Diamondbacks,RHP,"$7,350,000",,$0,$0
"Cronenworth, Jake",Padres,1,"$7,285,714",7,"$80,000,000","$11,428,571"
"Albies, Ozzie",Braves,2,"$7,000,000",7,"$35,000,000","$5,000,000"
"Johnson, Pierce",Braves,RHP,"$7,000,000",2,"$14,250,000","$7,125,000"
"Williams, Devin",Brewers,RHP,"$7,000,000",,$0,$0
"Edman, Tommy",Cardinals,SS,"$7,000,000",2,"$16,500,000","$8,250,000"
"Paxton, James",Dodgers,LHP,"$7,000,000",,$0,$0
"Narvaez, Omar",Mets,C,"$7,000,000",2,"$15,000,000","$7,500,000"
"Williams, Trevor",Nationals,RHP,"$7,000,000",2,"$13,000,000","$6,500,000"
"Merrifield, Whit",Phillies,INF,"$7,000,000",,$0,$0
"Hayes, Ke'Bryan",Pirates,3,"$7,000,000",8,"$70,000,000","$8,750,000"
"Stassi, Max",White Sox,C,"$7,000,000",3,"$17,500,000","$5,833,333.33"
"France, Ty",Mariners,1,"$6,775,000",,$0,$0
"Estevez, Carlos",Angels,RHP,"$6,750,000",2,"$13,500,000","$6,750,000"
"Barlow, Scott",Guardians,RHP,"$6,700,000",,$0,$0
"Naylor, Josh",Guardians,1,"$6,550,000",,$0,$0
"Quantrill, Cal",Rockies,RHP,"$6,550,000",,$0,$0
"Flores, Wilmer",Giants,SS,"$6,500,000",,$0,$0
"Hicks, Jordan",Giants,RHP,"$6,500,000",4,"$44,000,000","$11,000,000"
"Jackson, Luke",Giants,RHP,"$6,500,000",2,"$11,500,000","$5,750,000"
"Raley, Brooks",Mets,LHP,"$6,500,000",,$0,$0
"Ruiz, Keibert",Nationals,C,"$6,375,000",8,"$50,000,000","$6,250,000"
"Mullins, Cedric",Orioles,OF,"$6,325,000",,$0,$0
"Hays, Austin",Orioles,OF,"$6,300,000",,$0,$0
"Leclerc, Jose",Rangers,RHP,"$6,250,000",,$0,$0
