Player,Team,Position,Salary,Years,Total value,Average Annual
"Hendriks, Liam",Red Sox,RHP,"$2,000,000",2,"$10,000,000","$5,000,000"
"Rodriguez, Joely",Red Sox,LHP,"$2,000,000",,$0,$0
"Frazier, Adam",Royals,2,"$2,000,000",,$0,$0
"Hampson, Garrett",Royals,2,"$2,000,000",,$0,$0
"Weaver, Luke",Yankees,RHP,"$2,000,000",,$0,$0
"Wells, Tyler",Orioles,RHP,"$1,962,500",,$0,$0
"Tauchman, Michael",Cubs,OF,"$1,950,000",,$0,$0
"Garcia Jr., Luis",Nationals,2,"$1,950,000",,$0,$0
"Alexander, Tyler",Rays,LHP,"$1,950,000",,$0,$0
"Matzek, Tyler",Braves,LHP,"$1,900,000",,$0,$0
"Almonte, Yency",Cubs,RHP,"$1,900,000",,$0,$0
"Karinchak, James",Guardians,RHP,"$1,900,000",,$0,$0
"Garcia, Luis",Astros,RHP,"$1,875,000",,$0,$0
"Rasmussen, Drew",Rays,RHP,"$1,862,500",,$0,$0
"Littell, Zack",Rays,RHP,"$1,850,000",,$0,$0
"Refsnyder, Rob",Red Sox,OF,"$1,850,000",,$0,$0
"Knizner, Andrew",Rangers,C,"$1,825,000",,$0,$0
"Madrigal, Nick",Cubs,INF,"$1,810,000",,$0,$0
"Puk, A.J.",Marlins,LHP,"$1,800,000",,$0,$0
"Wright, Kyle",Royals,RHP,"$1,800,000",,$0,$0
"Hill, Tim",White Sox,LHP,"$1,800,000",,$0,$0
"Cooper, Garrett",Cubs,1,"$1,750,000",,$0,$0
"Urena, Jose",Rangers,RHP,"$1,750,000",,$0,$0
"Cisnero, Jose",Angels,RHP,"$1,750,000",,$0,$0
"Abreu, Bryan",Astros,RHP,"$1,750,000",,$0,$0
"DeJong, Paul",White Sox,SS,"$1,750,000",,$0,$0
"Flexen, Chris",White Sox,RHP,"$1,750,000",,$0,$0
"Andujar, Miguel",Athletics,OF,"$1,700,000",,$0,$0
"Sosa, Edmundo",Phillies,INF,"$1,700,000",,$0,$0
"Jankowski, Travis",Rangers,OF,"$1,700,000",,$0,$0
"Rogers, Jake",Tigers,C,"$1,700,000",,$0,$0
"Beeks, Jalen",Rockies,LHP,"$1,675,000",,$0,$0
"Cimber, Adam",Angels,RHP,"$1,650,000",,$0,$0
"Payamps, Joel",Brewers,RHP,"$1,650,000",,$0,$0
"McKenzie, Triston",Guardians,RHP,"$1,600,000",,$0,$0
"Stephan, Trevor",Guardians,RHP,"$1,600,000",4,"$10,000,000","$2,500,000"
"Borucki, Ryan",Pirates,LHP,"$1,600,000",,$0,$0
"Anderson, Nick",Royals,RHP,"$1,575,000",,$0,$0
"Rogers, Trevor",Marlins,LHP,"$1,530,000",,$0,$0
"Cabrera, Genesis",Blue Jays,LHP,"$1,512,500",,$0,$0
"Law, Derek",Nationals,RHP,"$1,500,000",,$0,$0
"Wilson, Justin",Reds,LHP,"$1,500,000",,$0,$0
"Leone, Dominic",White Sox,RHP,"$1,500,000",,$0,$0
"Gott, Trevor",Athletics,RHP,"$1,500,000",,$0,$0
"Ross, Joe",Brewers,RHP,"$1,500,000",,$0,$0
"Leiter Jr., Mark",Cubs,RHP,"$1,500,000",,$0,$0
"Grichuk, Randal",Diamondbacks,OF,"$1,500,000",,$0,$0
"Rainey, Tanner",Nationals,RHP,"$1,500,000",,$0,$0
"Tate, Dillon",Orioles,RHP,"$1,500,000",,$0,$0
"Rosario, Amed",Rays,INF,"$1,500,000",,$0,$0
"McGuire, Reese",Red Sox,C,"$1,500,000",,$0,$0
"Hudson, Dakota",Rockies,RHP,"$1,500,000",,$0,$0
"Stallings, Jacob",Rockies,C,"$1,500,000",,$0,$0
"Tovar, Ezequiel",Rockies,SS,"$1,500,000",7,"$63,500,000","$9,071,428"
"Urshela, Gio",Tigers,3,"$1,500,000",,$0,$0
"Trivino, Lou",Yankees,RHP,"$1,500,000",,$0,$0
"Stewart, DJ",Mets,OF,"$1,380,000",,$0,$0
"Bauers, Jake",Brewers,1,"$1,350,000",,$0,$0
"Thompson, Ryan",Diamondbacks,RHP,"$1,350,000",,$0,$0
"Olivares, Edward",Pirates,OF,"$1,350,000",,$0,$0
"Kirilloff, Alex",Twins,INF,"$1,350,000",,$0,$0
"Kinley, Tyler",Rockies,RHP,"$1,300,000",,$0,$0
"Jackson, Jay",Twins,RHP,"$1,300,000",,$0,$0
"Chargois, JT",Marlins,RHP,"$1,285,000",,$0,$0
"Toro, Abraham",Athletics,INF,"$1,275,000",,$0,$0
"Walsh, Jared",Rangers,1,"$1,250,000",,$0,$0
"Clarke, Taylor",Brewers,RHP,"$1,250,000",,$0,$0
"Voth, Austin",Mariners,RHP,"$1,250,000",,$0,$0
"Anderson, Chase",Red Sox,RHP,"$1,250,000",,$0,$0
"Lambert, Peter",Rockies,RHP,"$1,250,000",,$0,$0
"Hernandez, Jonathan",Rangers,RHP,"$1,245,000",,$0,$0
"Ginkel, Kevin",Diamondbacks,RHP,"$1,225,000",,$0,$0
"Lux, Gavin",Dodgers,2,"$1,225,000",,$0,$0
"Topa, Justin",Twins,RHP,"$1,225,000",,$0,$0
"Beede, Tyler",Guardians,RHP,"$1,200,000",,$0,$0
"Waguespack, Jacob",Rays,RHP,"$1,200,000",,$0,$0
"Thornton, Trent",Mariners,RHP,"$1,200,000",,$0,$0
"Perez, Cionel",Orioles,LHP,"$1,200,000",,$0,$0
"Merryweather, Julian",Cubs,RHP,"$1,175,000",,$0,$0
"Schreiber, John",Royals,RHP,"$1,175,000",,$0,$0
"Bello, Brayan",Red Sox,RHP,"$1,166,667",6,"$55,000,000","$9,166,667"
"Hentges, Sam",Guardians,LHP,"$1,162,500",,$0,$0
"De Los Santos, Enyel",Padres,RHP,"$1,160,000",,$0,$0
"Young, Alex",Reds,LHP,"$1,160,000",,$0,$0
"Guillorme, Luis",Braves,INF,"$1,100,000",,$0,$0
"Vargas, Ildemaro",Nationals,INF,"$1,100,000",,$0,$0
"Taylor, Josh",Royals,LHP,"$1,100,000",,$0,$0
"Sandlin, Nick",Guardians,RHP,"$1,075,000",,$0,$0
"Okert, Steven",Twins,LHP,"$1,062,500",,$0,$0
"Brentz, Jake",Royals,LHP,"$1,050,000",2,"$1,900,000","$950,000"
"Burke, Brock",Rangers,LHP,"$1,035,000",,$0,$0
"Wilson, Bryse",Brewers,RHP,"$1,025,000",,$0,$0
"Sborz, Josh",Rangers,RHP,"$1,025,000",,$0,$0
"Hernandez, Carlos",Royals,RHP,"$1,012,500",,$0,$0
"Newcomb, Sean",Athletics,LHP,"$1,000,000",,$0,$0
"Strider, Spencer",Braves,RHP,"$1,000,000",6,"$75,000,000","$12,500,000"
"Treinen, Blake",Dodgers,RHP,"$1,000,000",,$0,$0
"Vesia, Alex",Dodgers,LHP,"$1,000,000",,$0,$0
"Smith, Burch",Marlins,RHP,"$1,000,000",,$0,$0
"Tonkin, Michael",Mets,RHP,"$1,000,000",,$0,$0
"Bautista, Felix",Orioles,RHP,"$1,000,000",,$0,$0
"Kemp, Tony",Orioles,OF,"$1,000,000",,$0,$0
"Webb, Jacob",Orioles,RHP,"$1,000,000",,$0,$0
"Profar, Jurickson",Padres,OF,"$1,000,000",,$0,$0
"Devenski, Chris",Rays,RHP,"$1,000,000",,$0,$0
"Cave, Jake",Rockies,OF,"$1,000,000",,$0,$0
"Pillar, Kevin",White Sox,OF,"$1,000,000",,$0,$0
"Staumont, Josh",Twins,RHP,"$950,000",,$0,$0
"Suarez, Jose",Angels,LHP,"$925,000",,$0,$0
"Mantiply, Joe",Diamondbacks,LHP,"$925,000",,$0,$0
"Hamilton, Ian",Yankees,RHP,"$923,050",,$0,$0
"Haggerty, Sam",Mariners,2,"$900,000",,$0,$0
"Gordon, Nick",Marlins,OF,"$900,000",,$0,$0
"Stewart, Brock",Twins,RHP,"$900,000",,$0,$0
"Sano, Miguel",Angels,3,"$875,000",,$0,$0
"Bazardo, Eduard",Mariners,RHP,"$870,600",,$0,$0
"Romero, JoJo",Cardinals,LHP,"$860,000",,$0,$0
"Gonzalez, Victor",Yankees,LHP,"$860,000",,$0,$0
"Ahmed, Nick",Giants,SS,"$850,000",,$0,$0
"McFarland, T.J.",Athletics,LHP,"$850,000",,$0,$0
"Singleton, Jonathan",Astros,1,"$850,000",,$0,$0
"Wade, Tyler",Padres,3,"$850,000",,$0,$0
"Covey, Dylan",Phillies,RHP,"$850,000",,$0,$0
"Stubbs, Garrett",Phillies,C,"$850,000",,$0,$0
"Fleming, Josh",Pirates,LHP,"$850,000",,$0,$0
"Quijada, Jose",Angels,LHP,"$840,000",,$0,$0
"Ryan, Ryder",Pirates,RHP,"$830,000",,$0,$0
"Antone, Tejay",Reds,RHP,"$830,000",,$0,$0
"Mize, Casey",Tigers,RHP,"$830,000",,$0,$0
"Akin, Keegan",Orioles,LHP,"$825,000",,$0,$0
"Volpe, Anthony",Yankees,SS,"$810,100",,$0,$0
"Adams, Austin",Athletics,RHP,"$800,000",,$0,$0
"Stratton, Hunter",Pirates,RHP,"$800,000",,$0,$0
"Shaw, Bryan",White Sox,RHP,"$800,000",,$0,$0
"Burdi, Nick",Yankees,RHP,"$800,000",,$0,$0
"Pearson, Nate",Blue Jays,RHP,"$800,000",,$0,$0
"Perkins, Blake",Brewers,OF,"$800,000",,$0,$0
"Crochet, Garrett",White Sox,LHP,"$800,000",,$0,$0
"Kirby, George",Mariners,RHP,"$798,600",,$0,$0
"Garrett, Stone",Nationals,OF,"$798,600",,$0,$0
"Raleigh, Cal",Mariners,C,"$795,000",,$0,$0
"Scott, Tayler",Astros,RHP,"$790,000",,$0,$0
"Alcala, Jorge",Twins,RHP,"$790,000",,$0,$0
"Perdomo, Geraldo",Diamondbacks,SS,"$786,000",,$0,$0
"Pena, Jeremy",Astros,SS,"$783,500",,$0,$0
"Cabrera, Oswaldo",Yankees,OF,"$783,000",,$0,$0
"Manoah, Alek",Blue Jays,RHP,"$782,500",,$0,$0
"Vieira, Thyago",Brewers,RHP,"$777,500",,$0,$0
"Brown, Hunter",Astros,RHP,"$774,500",,$0,$0
"Weems, Jordan",Nationals,RHP,"$773,500",,$0,$0
"Reid-Foley, Sean",Mets,RHP,"$772,750",,$0,$0
"Adell, Jo",Angels,OF,"$770,000",,$0,$0
"Detmers, Reid",Angels,LHP,"$770,000",,$0,$0
"Moniak, Mickey",Angels,OF,"$770,000",,$0,$0
"Thaiss, Matt",Angels,C,"$770,000",,$0,$0
"Outman, James",Dodgers,OF,"$770,000",,$0,$0
"Bart, Joey",Giants,C,"$770,000",,$0,$0
"Doval, Camilo",Giants,RHP,"$770,000",,$0,$0
"Bender, Anthony",Marlins,RHP,"$770,000",,$0,$0
"Houck, Tanner",Red Sox,RHP,"$770,000",,$0,$0
"Thomas, Alek",Diamondbacks,OF,"$769,500",,$0,$0
"Diaz, Yainer",Astros,C,"$768,900",,$0,$0
"Ramirez, Yohan",Mets,RHP,"$768,750",,$0,$0
"De La Cruz, Bryan",Marlins,OF,"$768,000",,$0,$0
"Stott, Bryson",Phillies,2,"$768,000",,$0,$0
"France, J.P.",Astros,RHP,"$767,600",,$0,$0
"Meyers, Jake",Astros,OF,"$767,300",,$0,$0
"Morel, Christopher",Cubs,3,"$767,000",,$0,$0
"Contreras, William",Brewers,C,"$766,900",,$0,$0
"Peraza, Oswald",Yankees,SS,"$766,600",,$0,$0
"Marsh, Brandon",Phillies,OF,"$766,500",,$0,$0
"White, Mitch",Blue Jays,RHP,"$766,400",,$0,$0
"Foley, Jason",Tigers,RHP,"$766,300",,$0,$0
"Greene, Riley",Tigers,OF,"$766,300",,$0,$0
"Megill, Tylor",Mets,RHP,"$766,250",,$0,$0
"Ibanez, Andy",Tigers,INF,"$766,100",,$0,$0
"McCarthy, Jake",Diamondbacks,OF,"$766,000",,$0,$0
"Vierling, Matt",Tigers,OF,"$766,000",,$0,$0
"Torkelson, Spencer",Tigers,1,"$765,700",,$0,$0
"Bielak, Brandon",Astros,RHP,"$765,000",,$0,$0
"Oviedo, Johan",Pirates,RHP,"$765,000",,$0,$0
"McKinstry, Zach",Tigers,INF,"$764,400",,$0,$0
"Nelson, Ryne",Diamondbacks,RHP,"$764,300",,$0,$0
"Garrett, Braxton",Marlins,LHP,"$764,000",,$0,$0
"Reyes, Pablo",Red Sox,INF,"$764,000",,$0,$0
"Alvarez, Francisco",Mets,C,"$762,500",,$0,$0
"Cuas, Jose",Cubs,RHP,"$762,000",,$0,$0
"Ober, Bailey",Twins,RHP,"$761,850",,$0,$0
"Jax, Griffin",Twins,RHP,"$761,750",,$0,$0
"Nootbaar, Lars",Cardinals,OF,"$761,000",,$0,$0
"Cabrera, Edward",Marlins,RHP,"$761,000",,$0,$0
"Brogdon, Connor",Phillies,RHP,"$761,000",,$0,$0
"Carpenter, Kerry",Tigers,OF,"$761,000",,$0,$0
"Vest, Will",Tigers,RHP,"$760,700",,$0,$0
"Lange, Alex",Tigers,RHP,"$760,600",,$0,$0
"Henry, Tommy",Diamondbacks,LHP,"$760,500",,$0,$0
"Pache, Cristian",Phillies,OF,"$760,500",,$0,$0
"Rutschman, Adley",Orioles,C,"$760,300",,$0,$0
"Moreno, Gabriel",Diamondbacks,C,"$760,100",,$0,$0
"O'Hoppe, Logan",Angels,C,"$760,000",,$0,$0
"Soriano, Jose",Angels,RHP,"$760,000",,$0,$0
"Kelenic, Jarred",Braves,OF,"$760,000",,$0,$0
"Lee, Dylan",Braves,LHP,"$760,000",,$0,$0
"Grove, Michael",Dodgers,RHP,"$760,000",,$0,$0
"Burger, Jake",Marlins,3,"$760,000",,$0,$0
"Casas, Triston",Red Sox,1,"$760,000",,$0,$0
"Crawford, Kutter",Red Sox,RHP,"$760,000",,$0,$0
"Dalbec, Bobby",Red Sox,INF,"$760,000",,$0,$0
"Duran, Jarren",Red Sox,OF,"$760,000",,$0,$0
"Winckowski, Josh",Red Sox,RHP,"$760,000",,$0,$0
"Wong, Connor",Red Sox,C,"$760,000",,$0,$0
"Diaz, Alexis",Reds,RHP,"$760,000",,$0,$0
"Gibaut, Ian",Reds,RHP,"$760,000",,$0,$0
"Lodolo, Nick",Reds,LHP,"$760,000",,$0,$0
"Moll, Sam",Reds,LHP,"$760,000",,$0,$0
"Gilbreath, Lucas",Rockies,LHP,"$760,000",,$0,$0
"Lambert, Jimmy",White Sox,RHP,"$759,250",,$0,$0
"Fortes, Nick",Marlins,C,"$759,000",,$0,$0
"Ryan, Joe",Twins,RHP,"$758,850",,$0,$0
"Holton, Tyler",Tigers,LHP,"$758,300",,$0,$0
"Isbel, Kyle",Royals,OF,"$758,250",,$0,$0
"Siri, Jose",Rays,OF,"$757,800",,$0,$0
"Clement, Ernie",Blue Jays,2,"$757,700",,$0,$0
"Kwan, Steven",Guardians,OF,"$757,600",,$0,$0
"Brash, Matt",Mariners,RHP,"$757,600",,$0,$0
"Gray, Josiah",Nationals,RHP,"$757,400",,$0,$0
"Nelson, Kyle",Diamondbacks,LHP,"$757,300",,$0,$0
"Walls, Taylor",Rays,INF,"$757,300",,$0,$0
"Donovan, Brendan",Cardinals,INF,"$757,200",,$0,$0
"Massey, Michael",Royals,2,"$757,000",,$0,$0
"Sheets, Gavin",White Sox,INF,"$756,950",,$0,$0
"Pallante, Andre",Cardinals,RHP,"$756,900",,$0,$0
"Zavala, Seby",Mariners,C,"$756,700",,$0,$0
"Megill, Trevor",Brewers,RHP,"$756,600",,$0,$0
"Kremer, Dean",Orioles,RHP,"$756,600",,$0,$0
"Henderson, Gunnar",Orioles,SS,"$756,200",,$0,$0
"Jung, Josh",Rangers,3,"$756,000",,$0,$0
"Lowe, Josh",Rays,OF,"$755,700",,$0,$0
"Gorman, Nolan",Cardinals,2,"$755,550",,$0,$0
"Rortvedt, Ben",Rays,C,"$755,400",,$0,$0
"Banks, Tanner",White Sox,LHP,"$755,050",,$0,$0
"Assad, Javier",Cubs,RHP,"$755,000",,$0,$0
"Warren, Austin",Giants,RHP,"$755,000",,$0,$0
"Bae, Ji-hwan",Pirates,2,"$755,000",,$0,$0
"Contreras, Roansy",Pirates,RHP,"$755,000",,$0,$0
"Cruz, Oneil",Pirates,SS,"$755,000",,$0,$0
"Delay, Jason",Pirates,C,"$755,000",,$0,$0
"Falter, Bailey",Pirates,LHP,"$755,000",,$0,$0
"Hernandez, Jose",Pirates,LHP,"$755,000",,$0,$0
"Holderman, Colin",Pirates,RHP,"$755,000",,$0,$0
"Moreta, Dauri",Pirates,RHP,"$755,000",,$0,$0
"Suwinski, Jack",Pirates,OF,"$755,000",,$0,$0
"Melendez, MJ",Royals,OF,"$754,750",,$0,$0
"Campusano, Luis",Padres,C,"$754,700",,$0,$0
"Bradish, Kyle",Orioles,RHP,"$754,500",,$0,$0
"Duran, Ezequiel",Rangers,INF,"$754,500",,$0,$0
"Pfaadt, Brandon",Diamondbacks,RHP,"$754,400",,$0,$0
"Peguero, Elvis",Brewers,RHP,"$754,300",,$0,$0
"Raley, Luke",Mariners,1,"$754,200",,$0,$0
"Nardi, Andrew",Marlins,LHP,"$754,000",,$0,$0
"Ragans, Cole",Royals,LHP,"$753,750",,$0,$0
"Martinez, Seth",Astros,RHP,"$753,600",,$0,$0
"Sanchez, Cristopher",Phillies,LHP,"$753,500",,$0,$0
"Speier, Gabe",Mariners,LHP,"$753,300",,$0,$0
"Saucedo, Tayler",Mariners,LHP,"$753,100",,$0,$0
"Brazoban, Huascar",Marlins,RHP,"$753,000",,$0,$0
"Pasquantino, Vinnie",Royals,1,"$752,750",,$0,$0
"Miller, Bryce",Mariners,RHP,"$752,600",,$0,$0
"Weathers, Ryan",Marlins,LHP,"$752,600",,$0,$0
"Monasterio, Andruw",Brewers,INF,"$752,500",,$0,$0
"Abrams Jr., CJ",Nationals,SS,"$752,400",,$0,$0
"Cano, Yennier",Orioles,RHP,"$752,300",,$0,$0
"Olson, Reese",Tigers,RHP,"$752,300",,$0,$0
"Meneses, Joey",Nationals,DH,"$752,000",,$0,$0
"Wilson, Steven",White Sox,RHP,"$751,900",,$0,$0
"Winder, Josh",Twins,RHP,"$751,850",,$0,$0
"Caballero, Jose",Rays,SS,"$751,700",,$0,$0
"Marte, Yunior",Phillies,RHP,"$751,500",,$0,$0
"Rucker, Michael",Phillies,RHP,"$751,500",,$0,$0
"Garcia, Maikel",Royals,3,"$751,250",,$0,$0
"Morgan, Eli",Guardians,RHP,"$751,200",,$0,$0
"Serven, Brian",Blue Jays,C,"$751,000",,$0,$0
"Adams, Riley",Nationals,C,"$750,900",,$0,$0
"Thompson, Zack",Cardinals,LHP,"$750,850",,$0,$0
"Hoeing, Bryan",Marlins,RHP,"$750,500",,$0,$0
"Cosgrove, Tom",Padres,LHP,"$750,500",,$0,$0
"Burleson, Alec",Cardinals,OF,"$750,050",,$0,$0
"Gil, Luis",Yankees,RHP,"$750,000",,$0,$0
"Bachman, Sam",Angels,RHP,"$750,000",,$0,$0
"Neto, Zach",Angels,SS,"$750,000",,$0,$0
"Schanuel, Nolan",Angels,1,"$750,000",,$0,$0
"Silseth, Chase",Angels,RHP,"$750,000",,$0,$0
"Stefanic, Michael",Angels,INF,"$750,000",,$0,$0
"Zuniga, Guillermo",Angels,RHP,"$750,000",,$0,$0
"Erceg, Lucas",Athletics,RHP,"$750,000",,$0,$0
"Jimenez, Dany",Athletics,RHP,"$750,000",,$0,$0
"Kelly, Michael",Athletics,RHP,"$750,000",,$0,$0
"Rooker, Brent",Athletics,OF,"$750,000",,$0,$0
"Wall, Forrest",Braves,OF,"$750,000",,$0,$0
"Miller, Bobby",Dodgers,RHP,"$750,000",,$0,$0
"Sheehan, Emmet",Dodgers,RHP,"$750,000",,$0,$0
"Lively, Ben",Guardians,RHP,"$750,000",,$0,$0
"Santos, Gregory",Mariners,RHP,"$750,000",,$0,$0
"Baty, Brett",Mets,3,"$750,000",,$0,$0
"Kranick, Max",Mets,RHP,"$750,000",,$0,$0
"Marchan, Rafael",Phillies,C,"$750,000",,$0,$0
"Ashcraft, Graham",Reds,RHP,"$750,000",,$0,$0
"Benson, Will",Reds,OF,"$750,000",,$0,$0
"Cruz, Fernando",Reds,RHP,"$750,000",,$0,$0
"Fairchild, Stuart",Reds,OF,"$750,000",,$0,$0
"Friedl, TJ",Reds,OF,"$750,000",,$0,$0
"Martini, Nick",Reds,OF,"$750,000",,$0,$0
"Steer, Spencer",Reds,OF,"$750,000",,$0,$0
"Mears, Nick",Rockies,RHP,"$750,000",,$0,$0
"Foster, Matt",White Sox,RHP,"$750,000",,$0,$0
"Effross, Scott",Yankees,RHP,"$750,000",,$0,$0
"Wells, Austin",Yankees,C,"$750,000",,$0,$0
"Blanco, Ronel",Astros,RHP,"$749,800",,$0,$0
"Jameson, Drey",Diamondbacks,RHP,"$749,700",,$0,$0
"Parsons, Wes",Blue Jays,RHP,"$749,600",,$0,$0
"Gore, MacKenzie",Nationals,LHP,"$749,600",,$0,$0
"Smith, Josh",Rangers,INF,"$749,500",,$0,$0
"Abreu, Wilyer",Red Sox,OF,"$749,500",,$0,$0
"Sands, Cole",Twins,RHP,"$749,450",,$0,$0
"Patino, Luis",Padres,RHP,"$749,400",,$0,$0
"Thompson, Mason",Nationals,RHP,"$749,200",,$0,$0
"Woo, Bryan",Mariners,RHP,"$749,000",,$0,$0
"Baumann, Michael",Orioles,RHP,"$748,900",,$0,$0
"Ortega, Oliver",Astros,RHP,"$748,500",,$0,$0
"Florial, Estevan",Guardians,OF,"$748,500",,$0,$0
"Bradford, Cody",Rangers,LHP,"$748,500",,$0,$0
"Frias, Luis",Diamondbacks,RHP,"$748,300",,$0,$0
"Rodriguez, Grayson",Orioles,RHP,"$748,300",,$0,$0
"Zerpa, Angel",Royals,LHP,"$748,250",,$0,$0
"Turang, Brice",Brewers,2,"$748,200",,$0,$0
"Francis, Bowden",Blue Jays,RHP,"$748,000",,$0,$0
"Perez, Eury",Marlins,RHP,"$748,000",,$0,$0
"Bailey, Patrick",Giants,C,"$747,500",,$0,$0
"Beck, Tristan",Giants,RHP,"$747,500",,$0,$0
"Walker, Ryan",Giants,RHP,"$747,500",,$0,$0
"Davis, Henry",Pirates,C,"$747,500",,$0,$0
"Mlodzinski, Carmen",Pirates,RHP,"$747,500",,$0,$0
"Ortiz, Luis",Pirates,RHP,"$747,500",,$0,$0
"Walker, Jordan",Cardinals,OF,"$747,450",,$0,$0
"Mushinski, Parker",Astros,LHP,"$747,400",,$0,$0
"Uribe, Abner",Brewers,RHP,"$747,400",,$0,$0
"Snider, Collin",Mariners,RHP,"$747,300",,$0,$0
"Short, Zack",Mets,INF,"$747,300",,$0,$0
"Scholtens, Jesse",White Sox,RHP,"$747,250",,$0,$0
"Liberatore, Matthew",Cardinals,LHP,"$747,200",,$0,$0
"Duran, Jhoan",Twins,RHP,"$747,200",,$0,$0
"Otto, Glenn",Padres,RHP,"$747,000",,$0,$0
"Velazquez, Nelson",Royals,OF,"$747,000",,$0,$0
"Cleavinger, Garrett",Rays,LHP,"$746,900",,$0,$0
"Meadows, Parker",Tigers,OF,"$746,900",,$0,
"Julien, Edouard",Twins,2,"$746,750",,$0,$0
"Wentz, Joey",Tigers,LHP,"$746,700",,$0,$0
"Avila, Pedro",Padres,RHP,"$746,600",,$0,$0
"Faedo, Alex",Tigers,RHP,"$746,600",,$0,$0
"Frelick, Sal",Brewers,OF,"$746,500",,$0,$0
"Amaya, Miguel",Cubs,C,"$746,500",,$0,$0
"Mastrobuoni, Miles",Cubs,INF,"$746,000",,$0,$0
"Soriano, George",Marlins,RHP,"$746,000",,$0,$0
"Brito, Jhony",Padres,RHP,"$746,000",,$0,$0
"Marcano, Tucupita",Padres,SS,"$746,000",,$0,$0
"Campbell, Isaiah",Red Sox,RHP,"$746,000",,$0,$0
"Brujan, Vidal",Marlins,OF,"$745,800",,$0,$0
"Westburg, Jordan",Orioles,2,"$745,800",,$0,$0
"Dominguez, Jasson",Yankees,OF,"$745,800",,$0,$0
"McArthur, James",Royals,RHP,"$745,750",,$0,$0
"Bibee, Tanner",Guardians,RHP,"$745,700",,$0,$0
"Azocar, Jose",Padres,OF,"$745,700",,$0,$0
"Lewis, Royce",Twins,3,"$745,700",,$0,$0
"Irvin, Jake",Nationals,RHP,"$745,600",,$0,$0
"Wallner, Matt",Twins,OF,"$745,550",,$0,$0
"Varland, Louie",Twins,RHP,"$745,400",,$0,$0
"Palacios, Richie",Rays,OF,"$745,200",,$0,$0
"Pinto, Rene",Rays,C,"$745,100",,$0,$0
"Bride, Jonah",Marlins,INF,"$745,000",,$0,$0
"Trejo, Alan",Rockies,2,"$745,000",,$0,$0
"Allen, Nick",Athletics,SS,"$745,000",,$0,$0
"Bleday, JJ",Athletics,OF,"$745,000",,$0,$0
"Langeliers, Shea",Athletics,C,"$745,000",,$0,$0
"Noda, Ryan",Athletics,1,"$745,000",,$0,$0
"Ruiz, Esteury",Athletics,OF,"$745,000",,$0,$0
"Sears, J.P.",Athletics,LHP,"$745,000",,$0,$0
"Tarnok, Freddy",Athletics,RHP,"$745,000",,$0,$0
"Waldichuk, Ken",Athletics,LHP,"$745,000",,$0,$0
"Rojas, Johan",Phillies,OF,"$745,000",,$0,$0
"Rodriguez, Endy",Pirates,C,"$745,000",,$0,$0
"Triolo, Jared",Pirates,2,"$745,000",,$0,$0
"Williams, Alika",Pirates,INF,"$745,000",,$0,$0
"Carter, Evan",Rangers,OF,"$745,000",,$0,$0
"Bird, Jake",Rockies,RHP,"$745,000",,$0,$0
"Feltner, Ryan",Rockies,RHP,"$745,000",,$0,$0
"Jones, Nolan",Rockies,OF,"$745,000",,$0,$0
"Lawrence, Justin",Rockies,RHP,"$745,000",,$0,$0
"Montero, Elehuris",Rockies,1,"$745,000",,$0,$0
"Schneider, Davis",Blue Jays,INF,"$744,900",,$0,$0
"Brennan, Will",Guardians,OF,"$744,900",,$0,$0
"Pepiot, Ryan",Rays,RHP,"$744,900",,$0,$0
"Marsh, Alec",Royals,RHP,"$744,750",,$0,$0
"Weiss, Zack",Twins,RHP,"$744,550",,$0,$0
"Fermin, Freddy",Royals,C,"$744,500",,$0,$0
"Curry, Xzavion",Guardians,RHP,"$744,400",,$0,$0
"Rosario, Eguy",Padres,INF,"$744,400",,$0,$0
"Mitchell, Garrett",Brewers,OF,"$744,300",,$0,$0
"Allen, Logan",Guardians,LHP,"$744,300",,$0,$0
"Hall, DL",Brewers,LHP,"$744,200",,$0,$0
"Arias, Gabriel",Guardians,INF,"$744,100",,$0,$0
"Ortiz, Luis",Phillies,RHP,"$744,000",,$0,$0
"Harrison, Kyle",Giants,LHP,"$743,750",,$0,$0
"Hjelle, Sean",Giants,RHP,"$743,750",,$0,$0
"Winn, Keaton",Giants,RHP,"$743,750",,$0,$0
"Blanco, Dairon",Royals,OF,"$743,750",,$0,$0
"Canzone, Dominic",Mariners,OF,"$743,700",,$0,$0
"Jarvis, Bryce",Diamondbacks,RHP,"$743,600",,$0,$0
"Baz, Shane",Rays,RHP,"$743,600",,$0,$0
"Gipson-Long, Sawyer",Tigers,RHP,"$743,600",,$0,$0
"Mauricio, Ronny",Mets,INF,"$743,500",,$0,$0
"Murphy, Chris",Red Sox,LHP,"$743,500",,$0,$0
"Rafaela, Ceddanne",Red Sox,OF,"$743,500",,$0,$0
"Valdez, Enmanuel",Red Sox,2,"$743,500",,$0,$0
"Weissert, Greg",Red Sox,RHP,"$743,500",,$0,$0
"Bradley, Taj",Rays,RHP,"$743,300",,$0,$0
"Moore, McKinley",Yankees,RHP,"$743,250",,$0,$0
"Herrera, Ivan",Cardinals,C,"$743,150",,$0,$0
"Meyer, Max",Marlins,RHP,"$743,000",,$0,$0
"Kowar, Jackson",Mariners,RHP,"$743,000",,$0,$0
"Edwards, Xavier",Marlins,2,"$743,000",,$0,$0
